Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Peyton Manning,IND,24,2,16,16,357,571,4413,33,15,37,116,1,0,0,0,,0.0,0,AP: 2nd Tm,MannPe00
TE,Frank Wycheck,TEN,29,7,16,16,2,2,53,1,0,0,0,0,70,636,4,0,0.0,0,AP: 2nd Tm,WychFr00
T,Kyle Turley,NOR,25,2,16,16,0,0,0,0,0,0,0,0,1,16,0,,0.0,0,AP: 1st Tm,TurlKy20
G,Ruben Brown,BUF,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,BrowRu00
C,Kevin Mawae,NYJ,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm FW: 1st Tm,MawaKe00
DE,Rob Burnett,BAL,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,39,10.5,1,AP: 2nd Tm,BurnRo00
DT,Keith Hamilton,NYG,29,8,16,16,0,0,0,0,0,0,0,0,0,0,0,42,10.0,0,AP: 2nd Tm,HamiKe20
OLB,Jessie Armstead,NYG,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,76,5.0,1,AP: 2nd Tm,ArmsJe00
MLB,Randall Godfrey,TEN,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,98,3.0,2,AP: 2nd Tm,GodfRa20
MLB,Stephen Boyd,DET,28,5,15,15,0,0,0,0,0,0,0,0,0,0,0,77,0.5,1,AP: 2nd Tm,BoydSt00
MLB,Sam Cowart,BUF,25,2,12,12,0,0,0,0,0,0,0,0,0,0,0,88,5.5,2,AP: 2nd Tm,CowaSa00
CB,Charles Woodson,OAK,24,2,16,16,0,0,0,0,0,0,0,0,1,8,0,66,0.0,4,AP: 2nd Tm,WoodCh00
S,Blaine Bishop,TEN,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,57,2.5,0,AP: 2nd Tm,BishBl00
P,Shane Lechler,OAK,24,Rook,16,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 1st Tm SN: 1st Tm,LechSh20
P,Chris Gardocki,CLE,30,9,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,AP: 2nd Tm,GardCh20
RDE,Jason Taylor,MIA,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,35,14.5,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,TaylJa03
RCB,Sam Madison,MIA,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,29,0.0,5,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,MadiSa00
