Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,TFL,Sk%,NY/A,ANY/A,EXP
1,Dallas Cowboys,16,239,492,48.6,2631,18,3.7,13,94,2.6,5.7,5.3,11.8,164.4,67.6,32,189,72,6.1,5.0,4.6,57.66
2,Buffalo Bills,16,285,508,56.1,2707,18,3.5,10,72,2.0,5.8,5.6,10.3,169.2,76.5,38,231,76,7.0,5.0,4.8,29.93
3,Tampa Bay Buccaneers,16,274,475,57.7,2710,16,3.4,20,75,4.2,6.2,5.0,10.7,169.4,69.7,36,234,62,7.0,5.3,4.2,71.67
4,Baltimore Ravens,16,296,531,55.7,2805,19,3.6,24,104,4.5,5.9,4.6,10.7,175.3,66.4,47,353,102,8.1,4.9,3.6,127.52
5,Indianapolis Colts,16,277,445,62.2,2809,18,4.0,15,70,3.4,6.8,6.1,11.0,175.6,81.8,31,225,75,6.5,5.9,5.2,31.10
6,Denver Broncos,16,265,495,53.5,2828,17,3.4,9,95,1.8,6.2,6.0,11.5,176.8,76.2,36,221,70,6.8,5.3,5.2,29.28
7,Cleveland Browns,16,297,502,59.2,2846,13,2.6,15,70,3.0,6.1,5.2,10.3,177.9,72.9,35,203,71,6.5,5.3,4.5,3.46
8,New Orleans Saints,16,264,485,54.4,2993,20,4.1,14,102,2.9,6.5,6.0,12.0,187.1,76.3,32,171,60,6.2,5.8,5.3,7.93
9,Carolina Panthers,16,299,522,57.3,3003,19,3.6,16,81,3.1,6.2,5.5,10.8,187.7,74.8,40,212,84,7.1,5.3,4.7,20.51
10,New York Jets,16,281,455,61.8,3025,14,3.1,11,66,2.4,7.1,6.7,11.5,189.1,83.4,35,218,63,7.1,6.2,5.7,-29.89
11,Pittsburgh Steelers,16,294,484,60.7,3042,20,4.1,14,76,2.9,6.7,6.2,11.0,190.1,82.4,35,203,86,6.7,5.9,5.4,-21.43
12,St. Louis Rams,16,296,510,58.0,3072,23,4.5,24,85,4.7,6.6,5.4,11.4,192.0,73.3,42,291,73,7.6,5.6,4.4,131.69
13,Chicago Bears,16,326,525,62.1,3082,20,3.8,15,77,2.9,6.1,5.5,9.8,192.6,79.9,18,105,62,3.3,5.7,5.2,-13.72
14,Washington Redskins,16,285,483,59.0,3195,23,4.8,17,72,3.5,6.9,6.3,11.8,199.7,81.4,27,159,59,5.3,6.3,5.7,-44.17
15,New England Patriots,16,328,618,53.1,3232,11,1.8,29,121,4.7,5.6,3.9,10.6,202.0,56.2,41,253,70,6.2,4.9,3.3,113.61
16,Philadelphia Eagles,16,337,559,60.3,3236,17,3.0,13,98,2.3,6.2,5.8,10.3,202.3,78.7,38,248,63,6.4,5.4,5.0,47.39
