Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1,Seattle Seahawks,16,309,524,59.0,2752,16,3.1,28,91,5.3,5.8,4.0,9.9,172.0,63.4,44,298,99,70,7.7,4.8,3.2,87.60
2,New Orleans Saints,16,304,507,60.0,3105,20,3.9,12,68,2.4,6.8,6.5,11.3,194.1,83.6,49,336,95,78,8.8,5.6,5.3,9.70
3,Houston Texans,16,287,484,59.3,3123,29,6.0,7,69,1.4,6.8,7.4,11.5,195.2,93.9,32,187,105,70,6.2,6.1,6.6,-96.39
4,Buffalo Bills,16,310,561,55.3,3271,28,5.0,23,91,4.1,6.5,5.7,11.8,204.4,74.9,57,395,103,103,9.2,5.3,4.5,32.74
5,Cincinnati Bengals,16,362,614,59.0,3344,22,3.6,20,96,3.3,5.9,5.2,10.0,209.0,74.2,43,279,105,65,6.5,5.1,4.4,58.19
6,Carolina Panthers,16,375,563,66.6,3429,17,3.0,20,67,3.6,6.8,5.8,10.3,214.3,81.4,60,424,112,99,9.6,5.5,4.6,26.84
7,San Francisco 49ers,16,345,585,59.0,3536,19,3.2,18,82,3.1,6.5,5.8,11.1,221.0,76.4,38,283,81,73,6.1,5.7,5.0,12.17
8,Cleveland Browns,16,363,605,60.0,3538,29,4.8,14,84,2.3,6.2,6.1,10.3,221.1,84.1,40,185,88,73,6.2,5.5,5.4,-34.05
9,Pittsburgh Steelers,16,329,569,57.8,3546,21,3.7,10,70,1.8,6.6,6.5,11.4,221.6,82.7,34,205,77,63,5.6,5.9,5.8,-16.16
10,New York Giants,16,361,601,60.1,3573,21,3.5,17,81,2.8,6.3,5.7,10.5,223.3,78.3,34,214,90,73,5.4,5.6,5.1,10.55
11,Tennessee Titans,16,344,545,63.1,3612,15,2.8,13,87,2.4,7.0,6.5,11.2,225.8,83.3,36,227,80,73,6.2,6.2,5.7,-50.08
12,Baltimore Ravens,16,314,552,56.9,3681,25,4.5,16,98,2.9,7.1,6.7,12.5,230.1,82.2,40,257,84,77,6.8,6.2,5.8,-33.77
13,Indianapolis Colts,16,324,536,60.4,3711,21,3.9,15,77,2.8,7.4,6.9,12.2,231.9,84.6,42,248,85,61,7.3,6.4,6.0,-57.65
14,Arizona Cardinals,16,367,625,58.7,3728,29,4.6,20,102,3.2,6.5,6.0,11.1,233.0,80.2,47,337,115,93,7.0,5.5,5.1,13.96
15,Chicago Bears,16,315,507,62.1,3730,25,4.9,19,62,3.7,7.7,7.0,12.4,233.1,86.9,31,189,55,72,5.8,6.9,6.3,-48.62
16,Miami Dolphins,16,344,580,59.3,3752,17,2.9,18,78,3.1,6.9,6.1,11.7,234.5,77.3,42,272,95,68,6.8,6.0,5.3,-18.47
17,Tampa Bay Buccaneers,16,352,547,64.4,3806,30,5.5,21,74,3.8,7.4,6.8,11.5,237.9,88.9,35,255,85,86,6.0,6.5,5.9,-75.41
18,New England Patriots,16,336,589,57.0,3824,25,4.2,17,78,2.9,7.0,6.6,12.3,239.0,81.0,48,313,96,68,7.5,6.0,5.6,-10.01
19,St. Louis Rams,16,355,521,68.1,3874,21,4.0,14,75,2.7,8.1,7.7,11.8,242.1,94.7,53,326,94,100,9.2,6.7,6.4,-80.88
20,Washington Redskins,16,337,514,65.6,3896,29,5.6,16,62,3.1,8.0,7.8,12.3,243.5,96.1,36,238,72,76,6.5,7.1,6.8,-75.42
21,Atlanta Falcons,16,341,516,66.1,3897,31,6.0,10,58,1.9,8.0,8.3,12.1,243.6,102.4,32,231,59,60,5.8,7.1,7.4,-116.45
22,New York Jets,16,345,586,58.9,3947,26,4.4,13,62,2.2,7.1,7.0,12.1,246.7,86.5,41,242,83,85,6.5,6.3,6.2,-80.20
23,Detroit Lions,16,338,572,59.1,3950,24,4.2,15,88,2.6,7.3,7.0,12.4,246.9,85.0,33,249,93,81,5.5,6.5,6.2,-84.19
24,Green Bay Packers,16,332,539,61.6,3956,30,5.6,11,66,2.0,7.8,8.0,12.6,247.3,95.9,44,238,63,80,7.5,6.8,7.0,-95.42
25,Kansas City Chiefs,16,334,592,56.4,3962,25,4.2,21,100,3.5,7.2,6.5,12.8,247.6,78.5,47,309,76,69,7.4,6.2,5.5,12.25
26,Jacksonville Jaguars,16,354,551,64.2,3962,29,5.3,11,71,2.0,7.6,7.8,11.8,247.6,96.5,31,225,78,58,5.3,6.8,7.0,-105.54
27,Denver Broncos,16,357,613,58.2,4070,29,4.7,17,97,2.8,7.1,6.8,12.2,254.4,84.5,41,290,92,94,6.3,6.2,5.9,-70.71
28,Oakland Raiders,16,374,549,68.1,4092,33,6.0,9,40,1.6,7.9,8.4,11.6,255.8,105.1,38,260,78,83,6.5,7.0,7.4,-132.53
29,San Diego Chargers,16,364,548,66.4,4139,23,4.2,11,67,2.0,8.0,7.9,12.1,258.7,96.4,35,248,63,62,6.0,7.1,7.0,-80.92
30,Dallas Cowboys,16,403,623,64.7,4589,33,5.3,15,66,2.4,7.8,7.7,12.0,286.8,96.0,34,246,64,71,5.2,7.0,7.0,-101.42
31,Minnesota Vikings,16,419,648,64.7,4595,37,5.7,12,60,1.9,7.5,7.8,11.6,287.2,98.6,41,274,88,84,6.0,6.7,7.0,-140.40
32,Philadelphia Eagles,16,408,670,60.9,4636,25,3.7,19,97,2.8,7.3,6.8,12.0,289.8,84.0,37,271,69,73,5.2,6.6,6.1,-83.00
,Avg Team,,346.9,566.8,61.2,3769.6,25.1,4.4,15.7,77.0,2.8,6.7,6.3,10.9,235.6,86.0,40.5,267.2,85.1,76.3,6.7,6.21,5.9,-44.5
,League Total,,11102,18136,61.2,120626,804,4.4,502,2464,2.8,6.7,6.3,10.9,235.6,86.0,1295,8551,2722,2441,6.7,6.21,5.9,
,Avg Tm/G,,21.7,35.4,61.2,235.6,1.6,4.4,1.0,4.8,2.8,6.7,6.3,10.9,235.6,86.0,2.5,16.7,5.3,4.8,6.7,6.21,5.9,
