Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,17,529,331,3407,27,8.5,2150,1582,209,33.4%,56,8.9%,35,6.6%,57,148,23.6%,87
Buffalo Bills,17,464,277,2668,19,7.8,1844,1535,116,21.8%,40,7.5%,51,11.0%,36,127,23.9%,78
Carolina Panthers,17,507,336,3467,20,8.0,2107,1765,125,22.1%,38,6.7%,25,4.9%,30,93,16.5%,95
Chicago Bears,17,533,355,3863,32,8.5,2660,1955,154,25.8%,51,8.6%,40,7.5%,35,126,21.1%,91
Cincinnati Bengals,17,534,348,3975,33,7.5,1718,2416,101,16.6%,47,7.7%,45,8.4%,35,127,20.9%,170
Cleveland Browns,17,487,308,2843,25,7.4,1536,1630,160,28.3%,46,8.1%,49,10.1%,53,148,26.2%,99
Indianapolis Colts,17,627,397,4215,24,7.8,2510,1919,185,26.6%,70,10.1%,53,8.5%,39,162,23.3%,125
Arizona Cardinals,17,572,375,3923,31,7.7,2232,1889,151,24.1%,43,6.9%,41,7.2%,30,114,18.2%,115
Dallas Cowboys,17,556,381,4276,35,8.0,2338,2183,159,25.2%,89,14.1%,73,13.1%,35,197,31.2%,112
Denver Broncos,17,593,343,3182,18,8.7,2200,1767,199,28.5%,65,9.3%,80,13.5%,68,213,30.5%,85
Detroit Lions,17,555,342,3695,31,9.8,2480,1433,132,20.8%,54,8.5%,50,9.0%,49,153,24.1%,76
Green Bay Packers,17,549,360,3300,24,7.6,2243,1593,125,20.4%,61,9.9%,62,11.3%,36,159,25.9%,88
Houston Texans,17,538,319,3120,20,8.4,2024,1696,117,18.9%,46,7.4%,40,7.4%,47,133,21.5%,98
Jacksonville Jaguars,17,635,396,3707,25,7.9,2385,1769,168,23.9%,65,9.3%,62,9.8%,32,159,22.6%,92
Kansas City Chiefs,17,509,340,3329,18,6.9,1629,1854,182,31.3%,41,7.1%,61,12.0%,35,137,23.6%,75
Miami Dolphins,17,515,371,3678,29,7.3,1896,2015,167,28.2%,51,8.6%,36,7.0%,39,126,21.3%,112
Minnesota Vikings,17,447,279,2694,15,6.7,1519,1478,233,44.3%,50,9.5%,49,11.0%,49,148,28.1%,107
New Orleans Saints,17,491,312,3046,25,8.1,1710,1605,128,22.5%,62,10.9%,34,6.9%,45,141,24.7%,94
New England Patriots,17,527,350,3290,25,7.7,2258,1958,153,25.9%,34,5.8%,51,9.7%,35,120,20.3%,71
New York Giants,17,550,358,3642,25,7.9,2169,1722,160,25.6%,48,7.7%,55,10.0%,39,142,22.7%,79
New York Jets,17,515,336,3674,36,7.5,1807,2030,149,25.8%,31,5.4%,30,5.8%,26,87,15.1%,120
Tennessee Titans,17,514,354,3919,30,8.0,2222,1999,122,20.5%,51,8.6%,53,10.3%,42,146,24.5%,86
Philadelphia Eagles,17,544,309,3226,14,8.7,1973,1562,108,17.1%,46,7.3%,61,11.2%,42,149,23.6%,98
Pittsburgh Steelers,17,613,396,4146,30,6.8,2532,2139,198,28.7%,51,7.4%,55,9.0%,48,154,22.4%,126
Las Vegas Raiders,17,524,359,3417,23,7.5,1905,1613,117,19.8%,34,5.7%,44,8.4%,37,115,19.4%,121
Los Angeles Rams,17,589,377,3684,26,8.0,2733,2093,117,17.7%,61,9.2%,66,11.2%,47,174,26.3%,82
Baltimore Ravens,17,625,399,4214,23,8.5,2497,1875,164,23.6%,39,5.6%,63,10.1%,30,132,19.0%,98
Los Angeles Chargers,17,505,307,3058,16,7.7,1652,1930,112,19.0%,51,8.7%,43,8.5%,45,139,23.6%,99
Seattle Seahawks,17,600,375,3297,20,7.4,2114,2313,133,19.3%,73,10.6%,60,10.0%,47,180,26.1%,110
San Francisco 49ers,17,584,398,3951,29,7.8,2403,1939,116,18.3%,48,7.6%,38,6.5%,20,106,16.7%,88
Tampa Bay Buccaneers,17,568,379,4049,30,8.0,2161,2148,191,29.6%,45,7.0%,46,8.1%,37,128,19.8%,93
Washington Commanders,17,540,350,4122,33,8.0,2145,2166,145,23.5%,33,5.3%,46,8.5%,42,121,19.6%,131
